title,description,department_id,number,course_id
Philosophy of the State,"This course inquires into the origin and political and moral nature of the state, into its forms, functions, and connections with the education and the erotic life of its citizens. Readings to be discussed and written on are taken from Plato, Aristotle, Rousseau, Tocqueville, and Marx. Throughout the course, students adjudicate between different conceptions of the state and their ends, and examine the source of power of the state.",54,EXPOS 20.133,1677
Historical Sociology: Cultural and Institutional Perspectives,"The seminar explores the emergence, dynamics and interaction of cultural, structural and institutional processes in the development, and underdevelopment, of capitalism in selected western and non-western societies. Among the topics explored, through close study of selected texts, are: merchant capital, network channeling and cultural change in renaissance Italy; institutional, cultural and imperial factors in the rise and divergence of West European capitalism; networks and informal institutions in the rise of capitalism in China; cultural and institutional change in Tokugawa Japan; and the institutional and cultural origins of development and underdevelopment in Latin America and the Caribbean. Our readings and discussions will be guided by the recurring theoretical problems of causality, origins, continuity and change in institutional and cultural processes and the fundamental problem of how the past influences later periods and present outcomes.",137,SOCIOL 263,4712
Dreams: Our Mind by Night,"John Steinbeck wrote: &quot;It is a common experience that a problem difficult at night is resolved in the morning after the committee of sleep has worked on it.&quot;&nbsp; Steinbeck doesn&rsquo;t name the dream as spokesperson for the Committee of Sleep.&nbsp; However, most stories of nocturnal problem solving involve dreams. They are documented to have given the waking world one Nobel laureate&rsquo;s scientific experiment, music from classical masterpieces to pop chartbusters, innumerable novels and paintings, and inventions from the automated sewing machine to the computerized anti-aircraft gun. This course examines dreams with an emphasis on their relation to the creative process and problem solving. We&rsquo;ll first read about a variety of psychological aspects of dreaming&mdash;neurophysiology, biochemical, clinical, personality, and lucid dreaming research. The course also includes perspectives from history, religion, art, literature, and anthropology. In the later part we&rsquo;ll focus on the phenomena of problem solving and creativity in dreams&mdash;both the historic anecdotes and modern research on college students attempting to &lsquo;incubate&rsquo; problem-solving dreams and how this may relate to which brain areas are active during dreaming sleep. We&rsquo;ll visit a sleep laboratory and a dream artist&rsquo;s studio. You&rsquo;ll get a chance to work with your own dreams&mdash;in at-home assignments and also in class exercises. You&rsquo;ll keep a dream journal for the first half of the course, participate in experiential dreamwork exercises, and write a term paper to explore a topic of your choice in more depth.",56,FRSEMR 26F,1808
Dilemmas of Equity and Excellence in American K-12 Education,"Events such as Teach for America's 20th anniversary and films like Waiting for Superman highlight urgent concerns about the quality and reach of American schooling in the 21st century. Against this backdrop, the course grapples with several dilemmas that have defined American K-12 education throughout history. What constitutes educational excellence? Can excellence be achieved for everyone? Why do we have schools and what is their purpose? Given that families, politicians, and the courts often disagree vehemently about the answers to these questions, the course considers who and what will define the future of American education and its role in society.",64,US-WORLD 35,2082
Introduction to the Modern Middle East,"An introduction to Middle Eastern Studies focusing on the modern period (19th and 20th centuries). Lectures will be broadly sequenced according to historical chronology but will be thematically organized. They will provide some historical context for each topic examined, as well as present specific examples through primary sources, visual sources, and numerical data when relevant.This course is designed to give students an overall good grasp of the history of the modern Middle East and of some of the major themes in modern Middle Eastern Studies. Students will critically engage with some of the most important topics that resonate in that area of the world. We will cover topics such as reformism, economic development, colonialism and nationalism, authoritarianism and democratization, sectarianism, culture, gender, literature and the arts, as well as the role of religion in politics. Most of these topics, in one way or another, will speak to the construction of nation-states in the Middle East and to the challenges they have been confronting.This is not a survey course. In particular, it will not be exhaustive in its coverage of the region in space or time, and in its coverage of topics. Students in search of a specific topic, country, or period are strongly encouraged to take a look at the syllabus prior to enrolling to make sure their specific interests will be covered.Assigned readings will consist of primary and secondary sources. Students will be exposed to first-hand accounts by protagonists in the history of the Middle East (primary sources) as well as to the diversity of approaches that the scholarly literature (secondary sources) has taken across disciplines, e.g. anthropological studies, quantitative analysis, philology and textual studies. The larger aim of the course is to develop students&rsquo; critical thinking in dealing with the history, cultures, politics, and political economies of the contemporary Middle East. Required for all concentrators in The Modern Middle East. Open to all undergraduate and graduate students. There are no prerequisites for this course.",113,MODMDEST 100,3842
The Body in Art: From Ideal to Real,"This course explores how artists have idealized, humanized, and celebrated the naked and nude human form over the centuries. Taking advantage of local museum collections, we will consider the tradition of the flawless classical god and goddess, how modern artists like Manet, Degas, Matisse and Picasso transgressed it, and, finally, how contemporary artists continue to radically transform the nude today. No experience with art history is necessary.",54,EXPOS 20.137,1681
Quantum and Statistical Foundations of Chemistry,"An introduction to the fundamental theories of quantum mechanics and statistical mechanics and their role in governing the behavior of matter. The course begins with the quantum behavior of a single electron and develops the elements of the periodic table, the nature of the chemical bond, and the bulk properties of materials. Applications include semiconductor electronics, solar energy conversion, medical imaging, and the stability and dynamism of living systems. Calculus will be used extensively.",23,PHYSCI 10,542
Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective,"The Physical Sciences hold the key to solving unprecedented problems at the intersection of science, technology, and an array of rapidly emerging global scale challenges. The course emphasizes a molecular scale understanding of energy and entropy; free energy in equilibria, acid/base reactivity, and electrochemistry; molecular bonding and kinetics; catalysis in organic and inorganic systems; the union of quantum mechanics, nanostructures, and photovoltaics; and the analysis of nuclear energy. Case studies are used both to develop quantitative reasoning and to directly link these principles to global strategies.",23,PHYSCI 11,543
"Design Anthropology: Objects, Landscapes, Cities","This course will examine the intersections between design and anthropology. In recent years, there has been a movement in anthropology toward a focus on objects, while design, which has traditionally been concerned with objects, has been moving toward the understanding of objects as part of a greater milieu. This course explores the common ethnographic ground. No background in anthropology or design required.",6,ANTHRO 2695,218
Hindi-Urdu Supervised Readings,Instruction in Hindi-Urdu in topics not covered in the regular curriculum.,495,HIND-URD 91R,4810
